"","couponID","nUser","nUserUsed","nUserTwiceorMore","nUserNotUsed"
"1","cpn1",2,0,0,2
"760","cpn2",2,1,0,1
"1358","cpn3",25,2,0,23
"1852","cpn7",11,2,0,9
"1932","cpn8",15,4,0,11
"2021","cpn9",5,0,0,5
"2","cpn10",6,1,0,5
"75","cpn11",20,5,0,15
"162","cpn12",1,1,0,0
"247","cpn13",7,1,0,6
"329","cpn14",11,0,0,11
"415","cpn15",4,1,0,3
"499","cpn16",8,5,0,3
"568","cpn17",2,0,0,2
"635","cpn18",1,1,0,0
"694","cpn19",4,0,0,4
"761","cpn20",2,1,0,1
"830","cpn21",1,0,0,1
"897","cpn22",40,14,1,26
"956","cpn23",11,2,0,9
"1018","cpn24",6,2,0,4
"1086","cpn25",3,0,0,3
"1140","cpn26",2,0,0,2
"1260","cpn28",20,13,2,7
"1302","cpn29",4,0,0,4
"1359","cpn30",2,1,0,1
"1450","cpn32",1,0,0,1
"1525","cpn34",1,0,0,1
"1535","cpn35",1,0,0,1
"1542","cpn36",9,4,0,5
"1551","cpn37",2,0,0,2
"1560","cpn38",12,1,0,11
"1570","cpn39",5,2,0,3
"1578","cpn40",10,3,0,7
"1587","cpn41",2,2,0,0
"1598","cpn42",6,0,0,6
"1606","cpn43",7,0,0,7
"1623","cpn45",9,2,0,7
"1633","cpn46",4,0,0,4
"1651","cpn48",7,3,0,4
"1659","cpn49",3,0,0,3
"1669","cpn50",2,0,0,2
"1680","cpn51",6,1,0,5
"1690","cpn52",5,2,0,3
"1699","cpn53",5,0,0,5
"1706","cpn54",8,0,0,8
"1717","cpn55",1,0,0,1
"1727","cpn56",3,1,0,2
"1738","cpn57",4,2,0,2
"1747","cpn58",2,0,0,2
"1756","cpn59",3,0,0,3
"1764","cpn60",8,1,0,7
"1781","cpn62",13,1,0,12
"1791","cpn63",8,1,0,7
"1800","cpn64",13,1,0,12
"1810","cpn65",8,0,0,8
"1821","cpn66",1,1,0,0
"1830","cpn67",6,2,0,4
"1839","cpn68",1,0,0,1
"1846","cpn69",5,1,0,4
"1853","cpn70",4,0,0,4
"1860","cpn71",17,0,0,17
"1869","cpn72",2,1,0,1
"1880","cpn73",1,0,0,1
"1890","cpn74",5,1,0,4
"1898","cpn75",3,2,0,1
"1905","cpn76",1,0,0,1
"1911","cpn77",1,0,0,1
"1916","cpn78",7,1,0,6
"1924","cpn79",4,1,0,3
"1933","cpn80",1,0,0,1
"1951","cpn82",6,2,0,4
"1961","cpn83",3,1,0,2
"1971","cpn84",1,0,0,1
"1978","cpn85",1,0,0,1
"2002","cpn88",14,3,0,11
"2012","cpn89",6,0,0,6
"2022","cpn90",16,3,0,13
"2032","cpn91",7,1,0,6
"2037","cpn92",2,0,0,2
"2052","cpn94",13,3,0,10
"2061","cpn95",12,3,0,9
"2072","cpn96",2,0,0,2
"2081","cpn97",13,1,0,12
"2088","cpn98",6,0,0,6
"2096","cpn99",2,1,0,1
"3","cpn100",2,1,0,1
"10","cpn101",1,0,0,1
"16","cpn102",2,0,0,2
"23","cpn103",2,0,0,2
"36","cpn105",7,2,1,5
"42","cpn106",2,0,0,2
"50","cpn107",2,0,0,2
"59","cpn108",9,8,0,1
"69","cpn109",1,0,0,1
"76","cpn110",3,0,0,3
"86","cpn111",4,0,0,4
"94","cpn112",4,0,0,4
"103","cpn113",1,0,0,1
"113","cpn114",12,10,0,2
"132","cpn116",4,0,0,4
"145","cpn118",1,0,0,1
"154","cpn119",11,4,0,7
"163","cpn120",9,0,0,9
"172","cpn121",6,0,0,6
"178","cpn122",1,0,0,1
"188","cpn123",1,0,0,1
"198","cpn124",3,1,0,2
"204","cpn125",10,2,0,8
"212","cpn126",4,0,0,4
"230","cpn128",7,3,0,4
"237","cpn129",5,1,0,4
"261","cpn132",2,1,0,1
"270","cpn133",1,1,0,0
"277","cpn134",2,2,0,0
"284","cpn135",2,1,0,1
"292","cpn136",3,0,0,3
"302","cpn137",1,0,0,1
"313","cpn138",8,3,0,5
"321","cpn139",5,0,0,5
"330","cpn140",4,0,0,4
"338","cpn141",2,1,0,1
"347","cpn142",10,0,0,10
"355","cpn143",2,0,0,2
"364","cpn144",5,1,0,4
"372","cpn145",1,0,0,1
"380","cpn146",4,1,0,3
"389","cpn147",1,0,0,1
"400","cpn148",3,1,0,2
"410","cpn149",6,1,0,5
"416","cpn150",5,1,0,4
"425","cpn151",5,1,1,4
"432","cpn152",3,1,0,2
"442","cpn153",6,2,0,4
"453","cpn154",9,2,0,7
"461","cpn155",8,1,0,7
"466","cpn156",17,4,0,13
"476","cpn157",6,0,0,6
"484","cpn158",9,1,0,8
"492","cpn159",17,0,0,17
"500","cpn160",4,2,0,2
"508","cpn161",31,7,0,24
"516","cpn162",11,5,0,6
"521","cpn163",1,1,0,0
"526","cpn164",1,1,0,0
"534","cpn165",37,7,0,30
"540","cpn166",17,0,0,17
"547","cpn167",9,1,0,8
"554","cpn168",2,1,0,1
"569","cpn170",1,1,0,0
"573","cpn171",2,0,0,2
"583","cpn172",6,3,0,3
"596","cpn174",4,1,0,3
"610","cpn176",7,1,0,6
"617","cpn177",2,1,0,1
"624","cpn178",2,0,0,2
"627","cpn179",1,0,0,1
"636","cpn180",7,1,0,6
"642","cpn181",10,0,0,10
"657","cpn184",8,3,0,5
"664","cpn185",7,2,0,5
"673","cpn187",6,0,0,6
"680","cpn188",3,1,0,2
"688","cpn189",1,0,0,1
"695","cpn190",3,1,0,2
"702","cpn191",1,0,0,1
"715","cpn193",18,0,0,18
"721","cpn194",4,1,0,3
"726","cpn195",1,0,0,1
"733","cpn196",4,0,0,4
"741","cpn197",6,2,0,4
"744","cpn198",4,0,0,4
"751","cpn199",1,0,0,1
"770","cpn201",1,0,0,1
"782","cpn203",11,5,0,6
"791","cpn204",14,1,0,13
"798","cpn205",4,0,0,4
"805","cpn206",2,2,0,0
"814","cpn207",3,1,0,2
"818","cpn208",4,1,0,3
"824","cpn209",3,0,0,3
"831","cpn210",2,0,0,2
"839","cpn211",3,0,0,3
"845","cpn212",5,0,0,5
"850","cpn213",1,0,0,1
"859","cpn215",3,1,0,2
"869","cpn216",4,0,0,4
"874","cpn217",1,1,0,0
"883","cpn218",3,2,0,1
"889","cpn219",5,0,0,5
"898","cpn220",1,0,0,1
"913","cpn222",1,1,1,0
"922","cpn224",1,0,0,1
"930","cpn225",1,0,0,1
"939","cpn226",1,0,0,1
"943","cpn227",7,2,0,5
"947","cpn228",2,0,0,2
"952","cpn229",1,0,0,1
"957","cpn230",6,0,0,6
"962","cpn231",6,1,0,5
"969","cpn232",1,0,0,1
"976","cpn233",2,0,0,2
"997","cpn236",1,0,0,1
"1000","cpn237",1,0,0,1
"1011","cpn239",3,1,0,2
"1019","cpn240",1,0,0,1
"1040","cpn243",1,0,0,1
"1045","cpn244",1,0,0,1
"1054","cpn245",2,1,0,1
"1061","cpn246",1,1,0,0
"1067","cpn247",1,1,0,0
"1073","cpn248",5,2,0,3
"1077","cpn249",3,2,0,1
"1087","cpn250",6,1,0,5
"1093","cpn251",2,1,0,1
"1095","cpn252",2,0,0,2
"1100","cpn253",1,0,0,1
"1104","cpn254",1,0,0,1
"1110","cpn255",5,3,1,2
"1117","cpn256",4,1,1,3
"1125","cpn257",2,0,0,2
"1134","cpn258",1,0,0,1
"1136","cpn259",5,2,0,3
"1141","cpn260",7,0,0,7
"1149","cpn261",7,0,0,7
"1154","cpn262",3,1,0,2
"1162","cpn263",7,2,0,5
"1168","cpn264",3,3,0,0
"1176","cpn265",1,0,0,1
"1181","cpn266",2,0,0,2
"1187","cpn267",6,0,0,6
"1193","cpn268",3,0,0,3
"1198","cpn269",6,3,0,3
"1204","cpn270",2,0,0,2
"1219","cpn272",10,3,0,7
"1227","cpn273",3,3,0,0
"1231","cpn274",1,1,0,0
"1234","cpn275",14,4,0,10
"1238","cpn276",4,0,0,4
"1246","cpn277",7,0,0,7
"1251","cpn278",1,0,0,1
"1255","cpn279",2,2,0,0
"1261","cpn280",1,0,0,1
"1266","cpn281",6,1,0,5
"1273","cpn283",27,10,0,17
"1278","cpn284",1,0,0,1
"1294","cpn288",8,3,0,5
"1298","cpn289",10,0,0,10
"1307","cpn291",1,0,0,1
"1313","cpn292",10,1,0,9
"1318","cpn293",2,0,0,2
"1328","cpn294",1,1,0,0
"1333","cpn295",1,0,0,1
"1341","cpn296",8,1,0,7
"1344","cpn297",1,1,0,0
"1349","cpn298",3,1,0,2
"1352","cpn299",1,1,0,0
"1360","cpn300",8,1,0,7
"1363","cpn301",6,2,0,4
"1365","cpn302",12,1,0,11
"1380","cpn305",3,1,0,2
"1384","cpn306",1,0,0,1
"1387","cpn307",2,1,0,1
"1393","cpn308",7,1,0,6
"1397","cpn309",1,0,0,1
"1402","cpn310",7,1,0,6
"1408","cpn311",3,1,0,2
"1412","cpn312",9,1,0,8
"1423","cpn314",1,0,0,1
"1441","cpn318",37,10,0,27
"1446","cpn319",7,0,0,7
"1451","cpn320",6,1,0,5
"1457","cpn321",1,1,0,0
"1462","cpn322",3,1,0,2
"1467","cpn323",1,0,0,1
"1473","cpn325",2,0,0,2
"1478","cpn326",5,0,0,5
"1484","cpn327",8,2,0,6
"1490","cpn328",3,0,0,3
"1494","cpn329",3,1,0,2
"1497","cpn330",3,1,0,2
"1501","cpn331",1,0,0,1
"1506","cpn332",1,1,0,0
"1521","cpn336",6,2,0,4
"1522","cpn337",4,3,0,1
"1523","cpn338",25,5,0,20
"1524","cpn339",5,2,0,3
"1526","cpn340",5,0,0,5
"1527","cpn341",9,2,0,7
"1528","cpn342",2,1,0,1
"1529","cpn343",3,0,0,3
"1530","cpn344",2,0,0,2
"1531","cpn345",1,0,0,1
"1532","cpn347",1,0,0,1
"1533","cpn348",4,0,0,4
"1534","cpn349",1,0,0,1
"1536","cpn351",2,0,0,2
"1537","cpn352",1,0,0,1
"1538","cpn355",6,3,0,3
"1539","cpn356",1,0,0,1
"1540","cpn357",4,0,0,4
"1541","cpn358",3,0,0,3
"1543","cpn361",3,2,0,1
"1544","cpn362",1,0,0,1
"1545","cpn363",1,0,0,1
"1546","cpn364",1,0,0,1
"1547","cpn365",2,0,0,2
"1548","cpn366",2,1,0,1
"1549","cpn368",2,0,0,2
"1550","cpn369",4,1,0,3
"1552","cpn370",2,2,0,0
"1553","cpn371",1,0,0,1
"1554","cpn372",2,0,0,2
"1555","cpn373",9,2,0,7
"1556","cpn374",1,0,0,1
"1557","cpn376",2,0,0,2
"1558","cpn378",16,0,0,16
"1559","cpn379",6,1,0,5
"1561","cpn380",1,0,0,1
"1562","cpn381",4,0,0,4
"1563","cpn382",1,0,0,1
"1564","cpn384",1,0,0,1
"1565","cpn385",2,0,0,2
"1566","cpn386",3,1,0,2
"1567","cpn387",23,5,0,18
"1568","cpn388",1,0,0,1
"1569","cpn389",3,1,0,2
"1571","cpn391",4,0,0,4
"1572","cpn392",1,0,0,1
"1573","cpn395",3,1,0,2
"1574","cpn396",5,0,0,5
"1575","cpn397",3,0,0,3
"1576","cpn398",3,1,0,2
"1577","cpn399",3,0,0,3
"1579","cpn402",2,0,0,2
"1580","cpn403",1,1,0,0
"1581","cpn404",2,0,0,2
"1582","cpn405",2,1,0,1
"1583","cpn406",4,0,0,4
"1584","cpn407",1,1,0,0
"1585","cpn408",5,3,0,2
"1586","cpn409",4,1,0,3
"1588","cpn410",1,0,0,1
"1589","cpn411",1,0,0,1
"1590","cpn412",8,1,0,7
"1591","cpn413",4,0,0,4
"1592","cpn414",1,0,0,1
"1593","cpn415",6,0,0,6
"1594","cpn416",2,1,0,1
"1595","cpn417",2,1,0,1
"1596","cpn418",9,1,0,8
"1597","cpn419",6,1,0,5
"1599","cpn422",3,0,0,3
"1600","cpn423",1,1,0,0
"1601","cpn425",3,0,0,3
"1602","cpn426",28,3,0,25
"1603","cpn427",1,0,0,1
"1604","cpn428",2,1,0,1
"1605","cpn429",2,1,0,1
"1607","cpn430",6,1,0,5
"1608","cpn431",6,2,0,4
"1609","cpn432",3,0,0,3
"1610","cpn434",4,2,0,2
"1611","cpn435",1,0,0,1
"1612","cpn436",2,0,0,2
"1613","cpn437",2,0,0,2
"1614","cpn439",1,0,0,1
"1615","cpn440",5,0,0,5
"1616","cpn441",10,1,0,9
"1617","cpn444",4,1,0,3
"1618","cpn445",2,0,0,2
"1619","cpn446",1,0,0,1
"1620","cpn447",5,0,0,5
"1621","cpn448",10,1,0,9
"1622","cpn449",5,0,0,5
"1624","cpn450",2,0,0,2
"1625","cpn451",6,1,0,5
"1626","cpn452",3,1,0,2
"1627","cpn453",7,2,0,5
"1628","cpn454",3,2,0,1
"1629","cpn455",5,0,0,5
"1630","cpn457",4,1,0,3
"1631","cpn458",1,0,0,1
"1632","cpn459",4,1,0,3
"1634","cpn460",2,1,0,1
"1635","cpn461",4,1,0,3
"1636","cpn462",3,0,0,3
"1637","cpn463",5,0,0,5
"1638","cpn464",5,2,0,3
"1639","cpn465",2,0,0,2
"1640","cpn466",3,1,0,2
"1641","cpn467",7,1,0,6
"1642","cpn468",2,1,0,1
"1643","cpn470",1,0,0,1
"1644","cpn471",5,0,0,5
"1645","cpn472",2,2,0,0
"1646","cpn473",6,1,0,5
"1647","cpn474",2,0,0,2
"1648","cpn475",1,0,0,1
"1649","cpn476",2,0,0,2
"1650","cpn479",1,1,1,0
"1652","cpn480",1,0,0,1
"1653","cpn482",1,1,0,0
"1654","cpn483",3,2,0,1
"1655","cpn486",6,0,0,6
"1656","cpn487",3,0,0,3
"1657","cpn488",1,0,0,1
"1658","cpn489",1,0,0,1
"1660","cpn490",4,1,0,3
"1661","cpn492",1,0,0,1
"1662","cpn493",4,0,0,4
"1663","cpn494",15,4,0,11
"1664","cpn495",3,0,0,3
"1665","cpn496",3,0,0,3
"1666","cpn497",3,0,0,3
"1667","cpn498",1,0,0,1
"1668","cpn499",8,3,0,5
"1670","cpn500",1,0,0,1
"1671","cpn501",4,2,0,2
"1672","cpn502",3,0,0,3
"1673","cpn503",1,0,0,1
"1674","cpn504",12,3,0,9
"1675","cpn505",7,1,0,6
"1676","cpn506",3,1,0,2
"1677","cpn507",2,0,0,2
"1678","cpn508",1,0,0,1
"1679","cpn509",2,0,0,2
"1681","cpn510",1,0,0,1
"1682","cpn511",2,1,0,1
"1683","cpn512",12,2,0,10
"1684","cpn513",7,4,0,3
"1685","cpn514",4,1,0,3
"1686","cpn515",9,0,0,9
"1687","cpn516",2,2,0,0
"1688","cpn518",10,0,0,10
"1689","cpn519",2,1,0,1
"1691","cpn521",1,0,0,1
"1692","cpn522",8,0,0,8
"1693","cpn523",1,1,0,0
"1694","cpn525",2,0,0,2
"1695","cpn526",1,0,0,1
"1696","cpn527",6,0,0,6
"1697","cpn528",5,1,0,4
"1698","cpn529",2,1,0,1
"1700","cpn530",10,0,0,10
"1701","cpn531",2,0,0,2
"1702","cpn532",5,0,0,5
"1703","cpn533",7,1,0,6
"1704","cpn534",4,2,0,2
"1705","cpn535",1,1,0,0
"1707","cpn540",4,1,0,3
"1708","cpn541",2,1,0,1
"1709","cpn542",6,1,0,5
"1710","cpn543",4,1,0,3
"1711","cpn544",2,0,0,2
"1712","cpn545",5,0,0,5
"1713","cpn546",2,1,0,1
"1714","cpn547",2,1,0,1
"1715","cpn548",1,0,0,1
"1716","cpn549",2,0,0,2
"1718","cpn550",3,1,0,2
"1719","cpn551",1,0,0,1
"1720","cpn552",2,1,0,1
"1721","cpn553",1,1,0,0
"1722","cpn554",1,0,0,1
"1723","cpn555",7,1,0,6
"1724","cpn556",5,0,0,5
"1725","cpn557",5,2,0,3
"1726","cpn558",9,2,0,7
"1728","cpn560",11,1,0,10
"1729","cpn561",7,1,0,6
"1730","cpn562",4,1,0,3
"1731","cpn563",3,1,0,2
"1732","cpn564",2,0,0,2
"1733","cpn565",1,1,0,0
"1734","cpn566",15,2,0,13
"1735","cpn567",10,3,0,7
"1736","cpn568",6,2,0,4
"1737","cpn569",1,0,0,1
"1739","cpn570",6,2,0,4
"1740","cpn571",4,1,0,3
"1741","cpn572",7,1,0,6
"1742","cpn574",5,0,0,5
"1743","cpn575",4,2,0,2
"1744","cpn576",7,1,0,6
"1745","cpn577",1,0,0,1
"1746","cpn578",1,0,0,1
"1748","cpn581",1,1,0,0
"1749","cpn582",2,2,0,0
"1750","cpn583",2,0,0,2
"1751","cpn584",7,0,0,7
"1752","cpn585",4,0,0,4
"1753","cpn586",7,2,0,5
"1754","cpn587",1,0,0,1
"1755","cpn589",2,0,0,2
"1757","cpn590",1,0,0,1
"1758","cpn592",7,2,0,5
"1759","cpn593",6,1,0,5
"1760","cpn596",1,0,0,1
"1761","cpn597",2,0,0,2
"1762","cpn598",4,1,0,3
"1763","cpn599",1,1,0,0
"1765","cpn600",1,0,0,1
"1766","cpn601",2,0,0,2
"1767","cpn602",1,1,0,0
"1768","cpn603",1,0,0,1
"1769","cpn604",14,2,0,12
"1770","cpn606",1,1,0,0
"1771","cpn608",8,1,0,7
"1772","cpn609",3,2,0,1
"1773","cpn610",4,1,0,3
"1774","cpn611",3,0,0,3
"1775","cpn612",2,0,0,2
"1776","cpn613",2,0,0,2
"1777","cpn615",5,1,0,4
"1778","cpn616",1,0,0,1
"1779","cpn618",6,1,0,5
"1780","cpn619",10,1,0,9
"1782","cpn620",3,0,0,3
"1783","cpn622",3,0,0,3
"1784","cpn623",1,0,0,1
"1785","cpn624",11,2,0,9
"1786","cpn625",4,1,0,3
"1787","cpn626",4,0,0,4
"1788","cpn627",1,0,0,1
"1789","cpn628",2,1,0,1
"1790","cpn629",1,0,0,1
"1792","cpn630",3,0,0,3
"1793","cpn633",8,1,0,7
"1794","cpn634",1,0,0,1
"1795","cpn635",6,0,0,6
"1796","cpn636",4,0,0,4
"1797","cpn637",4,0,0,4
"1798","cpn638",1,0,0,1
"1799","cpn639",1,0,0,1
"1801","cpn640",5,0,0,5
"1802","cpn641",4,1,0,3
"1803","cpn642",1,0,0,1
"1804","cpn643",1,0,0,1
"1805","cpn644",1,1,0,0
"1806","cpn645",3,0,0,3
"1807","cpn646",1,0,0,1
"1808","cpn647",1,0,0,1
"1809","cpn649",1,0,0,1
"1811","cpn650",5,1,0,4
"1812","cpn651",3,1,0,2
"1813","cpn652",7,7,0,0
"1814","cpn653",1,0,0,1
"1815","cpn654",3,0,0,3
"1816","cpn655",8,4,0,4
"1817","cpn656",7,1,0,6
"1818","cpn657",1,0,0,1
"1819","cpn658",1,1,0,0
"1820","cpn659",2,0,0,2
"1822","cpn660",1,1,1,0
"1823","cpn662",4,3,0,1
"1824","cpn664",4,0,0,4
"1825","cpn665",8,2,0,6
"1826","cpn666",4,1,0,3
"1827","cpn667",7,2,0,5
"1828","cpn668",5,1,0,4
"1829","cpn669",2,0,0,2
"1831","cpn670",1,0,0,1
"1832","cpn671",3,0,0,3
"1833","cpn672",5,1,0,4
"1834","cpn674",5,0,0,5
"1835","cpn675",17,4,0,13
"1836","cpn676",3,0,0,3
"1837","cpn677",4,1,0,3
"1838","cpn678",19,3,0,16
"1840","cpn681",8,1,0,7
"1841","cpn682",3,1,0,2
"1842","cpn683",5,1,0,4
"1843","cpn685",2,0,0,2
"1844","cpn687",2,0,0,2
"1845","cpn688",4,2,0,2
"1847","cpn690",1,0,0,1
"1848","cpn694",8,2,0,6
"1849","cpn696",1,0,0,1
"1850","cpn698",2,0,0,2
"1851","cpn699",11,1,0,10
"1854","cpn701",2,1,0,1
"1855","cpn702",1,0,0,1
"1856","cpn703",2,0,0,2
"1857","cpn704",1,0,0,1
"1858","cpn705",5,1,0,4
"1859","cpn708",1,1,0,0
"1861","cpn710",2,1,0,1
"1862","cpn711",1,0,0,1
"1863","cpn713",2,1,0,1
"1864","cpn715",1,0,0,1
"1865","cpn716",2,0,0,2
"1866","cpn717",1,1,0,0
"1867","cpn718",2,0,0,2
"1868","cpn719",2,2,0,0
"1870","cpn720",1,0,0,1
"1871","cpn721",2,0,0,2
"1872","cpn722",11,3,0,8
"1873","cpn723",4,1,0,3
"1874","cpn724",2,0,0,2
"1875","cpn725",2,0,0,2
"1876","cpn726",8,3,0,5
"1877","cpn727",5,1,0,4
"1878","cpn728",1,0,0,1
"1879","cpn729",8,0,0,8
"1881","cpn730",5,1,0,4
"1882","cpn731",2,0,0,2
"1883","cpn733",6,6,1,0
"1884","cpn734",1,0,0,1
"1885","cpn735",2,2,0,0
"1886","cpn736",5,3,0,2
"1887","cpn737",2,1,0,1
"1888","cpn738",10,1,0,9
"1889","cpn739",4,2,0,2
"1891","cpn740",5,1,0,4
"1892","cpn741",1,0,0,1
"1893","cpn742",2,0,0,2
"1894","cpn743",2,0,0,2
"1895","cpn744",2,0,0,2
"1896","cpn745",8,2,0,6
"1897","cpn748",3,1,0,2
"1899","cpn750",1,0,0,1
"1900","cpn751",7,4,1,3
"1901","cpn754",1,0,0,1
"1902","cpn755",3,1,0,2
"1903","cpn757",1,0,0,1
"1904","cpn759",7,0,0,7
"1906","cpn760",3,0,0,3
"1907","cpn762",2,0,0,2
"1908","cpn763",2,0,0,2
"1909","cpn765",1,0,0,1
"1910","cpn769",2,1,0,1
"1912","cpn770",7,2,0,5
"1913","cpn777",1,0,0,1
"1914","cpn778",4,0,0,4
"1915","cpn779",2,1,0,1
"1917","cpn780",6,1,0,5
"1918","cpn782",9,0,0,9
"1919","cpn783",1,0,0,1
"1920","cpn784",3,0,0,3
"1921","cpn787",1,0,0,1
"1922","cpn788",3,0,0,3
"1923","cpn789",4,1,0,3
"1925","cpn791",2,0,0,2
"1926","cpn792",2,0,0,2
"1927","cpn793",1,0,0,1
"1928","cpn794",2,0,0,2
"1929","cpn797",1,0,0,1
"1930","cpn798",2,1,0,1
"1931","cpn799",2,1,0,1
"1934","cpn800",1,0,0,1
"1935","cpn801",10,5,0,5
"1936","cpn802",9,0,0,9
"1937","cpn803",5,1,0,4
"1938","cpn805",5,2,0,3
"1939","cpn807",4,0,0,4
"1940","cpn808",1,0,0,1
"1941","cpn809",4,1,0,3
"1942","cpn810",1,1,0,0
"1943","cpn811",3,1,0,2
"1944","cpn812",8,0,0,8
"1945","cpn813",5,1,0,4
"1946","cpn814",18,1,0,17
"1947","cpn816",1,1,0,0
"1948","cpn817",4,1,0,3
"1949","cpn818",2,0,0,2
"1950","cpn819",1,0,0,1
"1952","cpn820",1,0,0,1
"1953","cpn821",2,1,0,1
"1954","cpn823",7,0,0,7
"1955","cpn824",11,3,0,8
"1956","cpn825",7,1,0,6
"1957","cpn826",3,1,0,2
"1958","cpn827",5,1,0,4
"1959","cpn828",3,0,0,3
"1960","cpn829",4,1,0,3
"1962","cpn830",6,1,0,5
"1963","cpn831",5,1,0,4
"1964","cpn832",1,0,0,1
"1965","cpn833",2,2,0,0
"1966","cpn834",1,1,0,0
"1967","cpn835",1,0,0,1
"1968","cpn836",4,0,0,4
"1969","cpn838",1,0,0,1
"1970","cpn839",1,0,0,1
"1972","cpn840",1,0,0,1
"1973","cpn842",3,1,0,2
"1974","cpn843",3,1,0,2
"1975","cpn844",3,1,0,2
"1976","cpn847",5,1,0,4
"1977","cpn849",1,0,0,1
"1979","cpn850",1,0,0,1
"1980","cpn851",1,0,0,1
"1981","cpn852",4,2,0,2
"1982","cpn853",2,1,0,1
"1983","cpn855",1,1,0,0
"1984","cpn856",3,0,0,3
"1985","cpn857",5,3,0,2
"1986","cpn860",1,1,0,0
"1987","cpn862",2,0,0,2
"1988","cpn863",1,0,0,1
"1989","cpn864",2,0,0,2
"1990","cpn865",1,0,0,1
"1991","cpn868",1,0,0,1
"1992","cpn869",2,0,0,2
"1993","cpn870",1,0,0,1
"1994","cpn872",2,1,0,1
